38459.city,MIRAMAR BEACH,ST FRANCIS
30110.stateavg,AZ_HF-2,IL_PN-7
20531.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
2076.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Attack Patients Given Aspirin at Discharge
6581.condition,Heart Attack,Pneumonia
23480.address1,424 W NEW HAMPSHIRE,707 OLD DALTON ELLIJAY ROAD; PO BOX 1406
23725.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
48075.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
24811.condition,Surgical Infection Prevention,Heart Failure
21831.address1,1100 BROOKHAVEN ROAD,700 MEDICAL BLVD
43287.city,BERLIN,SPRINGHILL
27209.condition,Heart Failure,Surgical Infection Prevention
48922.city,CHINO,THREE RIVERS
47138.stateavg,CA_AMI-3,MD_AMI-5
41498.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Pneumonia Patients Assessed and Given Influenza Vaccination
10188.address1,1175 PINE STREET,100 S RAYMOND AVE
28854.address1,311 NORTH MORROW STREET,2500 WEST REYNOLDS STREET
10424.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7817.address1,67252 INDUSTRY LANE,1300 W 7TH ST
34868.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
14923.condition,Heart Attack,Surgical Infection Prevention
35587.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
37288.address1,7700 S BROADWAY,3515 BROADWAY ST
49509.measurename,Heart Attack Patients Given Aspirin at Arrival,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
41970.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
565.address1,4280 NORTH VALDOSTA ROAD,1725 PINE STREET
21452.condition,Heart Attack,Heart Failure
9142.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3915.stateavg,GA_SCIP-INF-2,AZ_SCIP-VTE-2
28140.condition,Surgical Infection Prevention,Heart Failure
6330.stateavg,CA_AMI-5,AR_PN-6
45464.stateavg,CA_AMI-7A,ME_AMI-1
17290.address1,820 W WASHINGTON ST,21 ELM ST
45444.stateavg,IA_SCIP-INF-3,ME_AMI-7A
11500.condition,Heart Failure,Surgical Infection Prevention
27235.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given Aspirin at Arrival
40036.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
13062.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
5305.stateavg,CT_AMI-5,AR_SCIP-VTE-1
13322.condition,Surgical Infection Prevention,Pneumonia
5335.stateavg,KS_PN-5C,AR_AMI-4
18214.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
22564.city,DERIDDER,CLEWISTON
46085.stateavg,CA_PN-4,MA_SCIP-VTE-2
13078.condition,Heart Attack,Surgical Infection Prevention
8302.condition,Pneumonia,Surgical Infection Prevention
10.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38144.stateavg,KS_SCIP-VTE-2,KS_SCIP-INF-6
25405.city,FLORA,AUGUSTA
8342.address1,2875 WEST 19TH STREET,555 E VALLEY PARKWAY
19110.city,EAST POINT,WINTER HAVEN
3157.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
6522.stateavg,MI_AMI-3,AR_AMI-4
14786.address1,1441 EASTLAKE AVE,1133 W SYCAMORE ST
36649.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
48855.city,CROWN POINT,MUSKEGON
46310.address1,2001 W 86TH ST,2000 W BALTIMORE STREET
19785.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
31818.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
27374.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
16777.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
14090.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9558.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
35650.stateavg,KY_SCIP-INF-6,IA_SCIP-VTE-1
21843.stateavg,CA_AMI-4,FL_SCIP-INF-1
15251.condition,Heart Attack,Pneumonia
13988.city,SAN JOSE,SOUTH EL MONTE
33419.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
42142.stateavg,KS_HF-3,KY_AMI-3
21642.city,BRUNSWICK,TALLAHASSEE
46033.address1,503 N MAPLE STREET,100 HOSPITAL ROAD
5246.condition,Heart Attack,Pneumonia
46438.condition,Surgical Infection Prevention,Pneumonia
33649.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23170.city,STOCKTON,AUGUSTA
45354.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given Aspirin at Discharge
20110.condition,Heart Attack,Pneumonia
46010.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
14002.stateavg,CA_HF-1,CA_PN-4
29311.city,FAYETTE,CHICAGO
43998.condition,Surgical Infection Prevention,Heart Attack
46853.stateavg,LA_HF-4,MD_SCIP-INF-2
6634.condition,Heart Attack,Pneumonia
29777.city,BURLINGTON,WINFIELD
5393.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
6534.condition,Surgical Infection Prevention,Pneumonia
49171.city,CHICO,CHEBOYGAN
24943.address1,1153 CENTRE STREET,2855 OLD HIGHWAY 5 NORTH
45421.condition,Surgical Infection Prevention,Heart Failure
40653.stateavg,CA_HF-4,KY_SCIP-INF-2
21822.city,ELKADER,GULF BREEZE
6623.address1,1350 S HICKORY ST,214 CARTER STREET
36872.stateavg,IL_HF-3,IA_PN-6
42204.address1,227 MOUNTAIN DR,433 PLAZA ST
21205.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
2640.stateavg,CA_SCIP-INF-4,AK_HF-1
8609.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39546.city,SEBASTOPOL,GOODLAND
18150.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Failure Patients Given Smoking Cessation Advice/Counseling
25650.address1,1400 WEST PARK AVENUE,88 MARTIN LUTHER KING JR DRIVE
2765.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18932.condition,Heart Attack,Pneumonia
26464.city,IOLA,NAMPA
38043.address1,1515 6TH AVENUE SOUTH,2770 N WEBB ROAD
43294.city,VALDOSTA,SPRINGHILL
18835.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given Aspirin at Arrival
20440.condition,Heart Attack,Pneumonia
9495.address1,7855 HOWELL PLACE BLVD,ONE HOAG DRIVE
23107.city,HOLLYWOOD,CARTERSVILLE
107.city,MOULTRIE,OPP
10810.city,DEL NORTE,BRAWLEY
19730.address1,711 MARSHALL STREET,1000 WEST MORENO STREET
20048.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
40145.condition,Pneumonia,Surgical Infection Prevention
36860.address1,13001 SOUTHERN BLVD,1501 EAST TENTH STREET
18518.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Pneumonia Patients Assessed and Given Influenza Vaccination
27817.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
43495.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
37069.condition,Surgical Infection Prevention,Heart Failure
38583.address1,1600 DIAMOND STREET,421 S MAPLE
23431.address1,450 SOUTH OCOTILLO STREET,316 NORTH BROAD STREET
45468.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given Beta Blocker at Discharge
29783.condition,Heart Attack,Surgical Infection Prevention
41977.city,ORANGE PARK,MONTICELLO
26663.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
35074.address1,501 PETALUMA AVE,1200 1ST AVENUE EAST
458.address1,701 EAST 2ND STREET,1300 SOUTH MONTGOMERY AVENUE
6292.city,HINESVILLE,NASHVILLE
39437.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Heart Attack Patients Given Aspirin at Arrival
8901.city,DANVILLE,SAN JOSE
28941.stateavg,AL_AMI-2,IL_AMI-7A
21241.address1,1350 W COVINA BLVD,7800 SHERIDAN STREET
36969.stateavg,FL_AMI-5,IA_PN-3B
49067.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Assessed and Given Influenza Vaccination
46779.condition,Surgical Infection Prevention,Heart Attack
7193.stateavg,GA_AMI-1,CA_HF-4
3828.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
2895.address1,900 23RD ST NW,5102 WEST CAMPBELL AVENUE
2813.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
25253.city,SYLVESTER,EAST POINT
36287.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Failure Patients Given Smoking Cessation Advice/Counseling
35423.city,BELLE GLADE,HAMPTON
42264.address1,441 N LAKEVIEW AVENUE,600 NORTH LEWIS STREET
29970.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given Aspirin at Discharge
42929.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
11957.condition,Pneumonia,Heart Failure
32490.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
47817.city,BLACKFOOT,LOWELL
23864.condition,Surgical Infection Prevention,Pneumonia
29506.city,DENVER,GENEVA
46403.city,WAUKEGAN,OLNEY
17484.city,PARIS,NORWICH
20232.address1,1542 S BLOOMINGTON ST,20900 BISCAYNE BLVD
21653.city,JACKSONVILLE,TAMPA
17215.condition,Pneumonia,Surgical Infection Prevention
48440.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
40840.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
9256.city,SANDWICH,WATSONVILLE
2581.stateavg,KS_AMI-5,AL_CAC-2
30440.address1,1200 B  GALE WILSON BLVD,303 N W 11TH STREET
463.stateavg,FL_AMI-1,AL_SCIP-INF-4
21396.city,EWA BEACH,MIAMI
47364.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44255.address1,2021 PERDIDO ST  4FLOOR,1125 WEST HIGHWAY 30
5405.stateavg,MD_SCIP-INF-2,AR_SCIP-VTE-1
6077.condition,Heart Attack,Pneumonia
11751.stateavg,KY_SCIP-INF-4,CA_HF-3
11240.address1,200 ABRAHAM FLEXNER WAY,501 PETALUMA AVE
16946.address1,9333 IMPERIAL HIGHWAY,1311 N MILDRED RD
16915.condition,Heart Attack,Surgical Infection Prevention
9140.condition,Surgical Infection Prevention,Pneumonia
29396.condition,Surgical Infection Prevention,Heart Failure
34787.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15288.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Children Who Received Reliever Medication While Hospitalized for Asthma
3574.stateavg,CA_AMI-5,AZ_PN-2
24258.condition,Pneumonia,Heart Attack
11497.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18929.city,QUINCY,DELAND
13344.city,KULA,VACAVILLE
3648.condition,Surgical Infection Prevention,Heart Failure
11527.stateavg,IL_SCIP-VTE-1,CA_SCIP-INF-4
3681.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
2950.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
34797.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10657.address1,401 EAST VAUGHN AVENUE,9888 GENESEE AVENUE
4465.condition,Heart Failure,Pneumonia
39904.address1,243 CHARLES STREET,85 NORTH GRAND AVENUE
20361.city,PARIS,FERNANDINA BEACH
42595.address1,1100 SW 11TH ST,801 POINCIANA AVENUE
1503.condition,Pneumonia,Heart Failure
2474.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
24491.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
8415.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
19977.condition,Heart Attack,Heart Failure
18054.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
18260.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
27210.city,OSCEOLA,CENTRALIA
17039.city,PANORAMA CITY,HARTFORD
24952.address1,409 FIRST STREET,509 SUMTER STREET; BOX 770
36497.condition,Surgical Infection Prevention,Pneumonia
38819.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
32800.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
33907.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
23166.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47518.stateavg,AZ_SCIP-INF-1,MA_SCIP-INF-6
21485.stateavg,CO_AMI-1,FL_SCIP-INF-1
33087.address1,4280 NORTH VALDOSTA ROAD,3630 GUION RD
44683.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
44335.stateavg,IL_PN-4,LA_SCIP-CARD-2
22242.condition,Surgical Infection Prevention,Pneumonia
9412.address1,1111 EAST MCDOWELL ROAD,2070 CLINTON AVE
37167.condition,Pneumonia,Heart Attack
42724.city,DODGE CITY,CAMERON
3677.city,VALDOSTA,LAKE HAVASU CITY
22919.stateavg,CA_AMI-1,GA_HF-4
47560.city,CHARITON,SALEM
32242.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17606.stateavg,CO_SCIP-INF-2,CT_AMI-8A
12577.address1,1 VA CENTER,27700 MEDICAL CENTER RD
49390.stateavg,KY_SCIP-INF-6,MI_AMI-7A
34823.condition,Surgical Infection Prevention,Heart Attack
6555.city,SOUTH HAVEN,DUMAS
28841.city,MARINA DEL REY,PONTIAC
14627.address1,916 MYRTLE AVE,3350 LA JOLLA VILLAGE DRIVE
22386.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
12079.address1,701 W COCOA BEACH CAUSEWAY,1010 MURRAY ST
44962.city,BALTIMORE,DELHI
42864.address1,501 NORTH NAVAJO DRIVE,1202 S TYLER STREET
42177.stateavg,CA_HF-3,KY_PN-3B
46971.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7126.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
32586.stateavg,MD_SCIP-INF-2,IN_AMI-4
47091.address1,6501 NORTH 19TH AVENUE,11711 LIVINGSTON ROAD
27572.address1,3316 HIGHWAY 280,ST ANTHONY'S WAY
2908.address1,1266 HIGHWAY 515 SOUTH,5102 WEST CAMPBELL AVENUE
15238.condition,Heart Failure,Heart Attack
39496.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
3957.condition,Surgical Infection Prevention,Pneumonia
21883.stateavg,CA_SCIP-VTE-1,FL_HF-2
12045.condition,Heart Failure,Surgical Infection Prevention
31473.condition,Pneumonia,Heart Failure
26640.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
30123.measurename,Heart Attack Patients Given Beta Blocker at Discharge,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
14326.city,SALINA,THOUSAND OAKS
20039.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44801.address1,1133 EAGLE'S LANDING PARKWAY,1102 N PINE ROAD
6006.condition,Pneumonia,Surgical Infection Prevention
9068.stateavg,IA_PN-3B,CA_SCIP-INF-1
35436.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
19415.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Failure Patients Given Smoking Cessation Advice/Counseling
1037.city,KETCHUM,DADEVILLE
40583.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
4553.address1,902 7TH STREET NORTH,500 HIGHWAY 89 NORTH
4390.stateavg,MI_PN-6,AZ_SCIP-INF-3
7596.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45232.city,DYER,LEWISTON
11955.stateavg,CA_SCIP-CARD-2,CA_HF-1
11947.condition,Heart Attack,Surgical Infection Prevention
8072.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7388.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44507.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given Discharge Instructions
40211.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
7079.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34308.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
47677.condition,Surgical Infection Prevention,Heart Attack
47552.condition,Surgical Infection Prevention,Heart Attack
4114.city,RIVERSIDE,PHOENIX
26979.address1,ONE HOAG DRIVE,403 E 1ST ST
5702.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
4737.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
1755.condition,Pneumonia,Heart Attack
24824.stateavg,CO_PN-3B,GA_SCIP-VTE-1
19805.address1,210 MARIE LANGDON DRIVE,368 NE FRANKLIN STREET
13707.stateavg,IL_HF-3,CA_SCIP-INF-1
7040.address1,351 S PATTERSON AVE,2767 OLIVE HIGHWAY
42832.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8526.stateavg,MI_HF-3,CA_SCIP-CARD-2
35558.city,BOYNTON BEACH,WEST UNION
15968.condition,Heart Attack,Heart Failure
43759.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
49032.stateavg,CA_HF-3,MI_PN-5C
44210.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3093.address1,4011 S MONROE MEDICAL PARK BLVD,2215 WILDWOOD AVENUE
1822.address1,2823 FRESNO STREET,5 MOBILE INFIRMARY CIRCLE
44969.city,ELGIN,DELHI
15207.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
13733.condition,Heart Failure,Surgical Infection Prevention
26377.stateavg,IA_SCIP-INF-1,ID_PN-6
49068.city,CHICAGO,DETROIT
28834.city,KNOX,FREEPORT
42283.condition,Pneumonia,Surgical Infection Prevention
30428.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
36951.stateavg,GA_HF-3,IA_SCIP-INF-2
1191.condition,Heart Attack,Heart Failure
1737.stateavg,IN_SCIP-INF-3,AL_PN-3B
12542.stateavg,IN_PN-5C,CA_PN-4
18636.city,MOULTRIE,MIAMI BEACH
428.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
6118.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
29277.stateavg,KS_AMI-7A,IL_PN-7
49103.address1,9100 W 74TH STREET,300 E WARWICK DR
33709.condition,Heart Failure,Surgical Infection Prevention
14361.address1,5555 WEST THUNDERBIRD ROAD,6000 SAN VICENTE BLVD
49199.city,SEAFORD,GREENVILLE
11675.city,ATLANTIC,MERCED
244.stateavg,CA_SCIP-INF-4,AL_SCIP-VTE-2
32726.condition,Pneumonia,Surgical Infection Prevention
43006.stateavg,KY_SCIP-INF-1,LA_AMI-8A
34776.address1,2408 BROADMOOR BLVD,200 HAWKINS DRIVE
12026.address1,12605 EAST 16TH AVENUE,2131 W 3RD ST
11726.city,SAINT PETERSBURG,SAN FRANCISCO
17408.address1,9003 EAST SHEA BOULEVARD,28 CRESCENT ST
24307.condition,Surgical Infection Prevention,Heart Attack
33832.stateavg,CO_AMI-7A,IN_SCIP-INF-4
41508.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
35354.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
40665.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
48245.measurename,Heart Failure Patients Given Discharge Instructions,Pneumonia Patients Assessed and Given Influenza Vaccination
42919.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26932.address1,9888 GENESEE AVENUE,2650 RIDGE AVE
35507.stateavg,AL_AMI-4,IA_AMI-7A
47478.stateavg,MA_SCIP-INF-2,MA_HF-1
46109.measurename,Heart Failure Patients Given Discharge Instructions,Pneumonia Patients Assessed and Given Influenza Vaccination
39747.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
5027.stateavg,IA_AMI-7A,AR_SCIP-VTE-1
2890.condition,Pneumonia,Surgical Infection Prevention
44314.city,SAINT HELENA,MONROE
38326.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Heart Attack Patients Given Beta Blocker at Discharge
31227.stateavg,CA_AMI-7A,IL_SCIP-INF-2
24498.stateavg,MD_AMI-3,GA_HF-3
28149.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
27874.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
16913.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
23419.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Attack Patients Given Beta Blocker at Discharge
2753.stateavg,CA_SCIP-INF-4,AK_PN-3B
12573.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),surgery patients who were given the  right kind  of antibiotic to help prevent infection
33128.address1,151 REDSTONE AVE SE,2101 E DUBOIS DR
16045.stateavg,CA_PN-7,CO_HF-3
32449.address1,85 NORTH GRAND AVENUE,1002 SOUTH LINCOLN STREET
22935.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23184.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46958.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
20388.city,ROCKFORD,MARIANNA
30385.address1,304 E 3RD STREET,101 N WALNUT
9787.city,ABILENE,PALM SPRINGS
18909.city,MUSKEGON,STUART
20563.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Heart Failure Patients Given Discharge Instructions
37784.stateavg,FL_SCIP-VTE-1,KS_PN-3B
10445.stateavg,GA_PN-4,CA_SCIP-CARD-2
9690.city,NEWBURGH,BURBANK
40562.city,ALAMEDA,RICHMOND
11690.address1,2801 MEDICAL CENTER DRIVE,1081 NORTH CHINA LAKE BLVD
7691.address1,ONE TRILLIUM WAY,2050 VIBORG RD
18500.stateavg,IA_PN-2,FL_SCIP-VTE-1
2827.city,COVINGTON,WRANGELL
6318.condition,Surgical Infection Prevention,Heart Attack
42093.condition,Pneumonia,Heart Attack
6785.stateavg,FL_AMI-7A,CA_PN-4
22160.address1,1125 WEST HIGHWAY 30,1451 EL CAMINO REAL
42236.stateavg,AL_AMI-2,LA_SCIP-INF-4
41991.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
37275.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Given Smoking Cessation Advice/Counseling
2663.stateavg,IN_PN-3B,AK_AMI-3
46217.city,SANFORD,BALTIMORE
34938.condition,Heart Attack,Surgical Infection Prevention
1464.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,surgery patients who were given the  right kind  of antibiotic to help prevent infection
28696.condition,Heart Attack,Pneumonia
13315.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
9263.condition,Surgical Infection Prevention,Pneumonia
16448.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
15689.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
27087.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46064.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients who were given the  right kind  of antibiotic to help prevent infection
6178.measurename,Heart Failure Patients Given Discharge Instructions,Pneumonia Patients Given Smoking Cessation Advice/Counseling
472.address1,751 DERBY DRIVE,126 HOSPITAL AVE
8218.stateavg,IN_PN-6,CA_PN-3B
13988.condition,Pneumonia,Surgical Infection Prevention
49905.stateavg,CA_HF-3,MI_SCIP-INF-3
46895.stateavg,KS_SCIP-INF-6,MD_PN-2
34419.address1,2041 GEORGIA AVE NW,1600 MORGAN STREET
8630.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
28853.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
5762.address1,3316 HIGHWAY 280,#1 MEDICAL PARK DRIVE
9420.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
14498.stateavg,IN_PN-4,CA_AMI-3
2749.city,MARION,ANCHORAGE
36029.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
36016.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
6244.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
23297.address1,1701 E 23RD AVENUE,70 MEDICAL CENTER DR
39050.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
19732.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
30717.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Given Smoking Cessation Advice/Counseling
13960.stateavg,GA_AMI-2,CA_SCIP-INF-4
24176.stateavg,ID_PN-5C,GA_SCIP-INF-6
41109.stateavg,AR_AMI-3,KY_HF-1
41388.address1,CASTRO  DUBOCE STS,1025 NEW MOODY LANE
15336.condition,Pneumonia,Surgical Infection Prevention
29029.address1,468 CADIEUX RD,3701 DOTY ROAD
44508.stateavg,IA_SCIP-INF-4,LA_HF-2
34933.address1,240 HOSPITAL ROAD,1200 PLEASANT STREET
