reaction(1478,WTPOzrd5274,UESGfwa0830,OAYUmzi3233,N_320406)
reaction(33175,VZCYgme9554,NCNBtod2398,BYUQedu0618,N_375160)
reaction(38665,JXHYcmi6613,SVHVmqi3250,BILWhgy6706,N_321248)
reaction(10743,SZVRlrk5159,DLLTwto1784,AXHOuiu6940,N_346901)
reaction(15619,SKAAkxa0560,NGEWjan8839,XRPKbzj9391,N_367997)
reaction(7600,CENVdrw2969,HREBsha4998,IZHUbhl5814,N_322912)
reaction(4045,MHJFotg5716,JYKImtr4269,SPWUzrt1545,N_350304)
reaction(16291,MAWYadm4566,FPXZdsm0072,VMBYvof4055,N_336966)
reaction(29122,XHGTulh5163,MCALakc8949,OHARzqa8811,N_336298)
reaction(8469,HLXXcbg3361,LHJYgpw0718,RBTWrlb5595,N_346167)
reaction(4109,PSLUtph1568,WTJWpjt2673,TMLDixg0654,N_331304)
reaction(7524,BIOPxbo4497,BKHEmrn2538,ILPNgva4089,N_351115)
reaction(16404,TXQDuar3205,HYHIudg3911,XBFNimx0438,N_351433)
reaction(17476,DDIBeuh1667,UEKRdat1053,QYXAffl7668,N_323375)
reaction(3552,CIDDgsc5122,IUCYaew4515,AZLWsyd6518,N_336422)
reaction(16619,RIBTblo8320,AQBEgfe6500,ZLQTooa0114,N_333831)
reaction(543,OKCDlst1762,MPMMecg5143,FUBFico2351,N_356233)
reaction(19006,CCEPfdn8248,XLTHtnh5638,AREEswk1268,N_370597)
reaction(29589,NAGMfmi4533,GWNJxpu7080,DYQGtxo5216,N_327509)
reaction(26776,KNWUcnl1418,QWYDkni9130,SPODzft7657,N_334981)
reaction(33701,NSTNfoo4938,NSFEznl2473,LBVXfhw0435,N_366572)
reaction(9548,DYVIswe9831,KUXAsdm9990,JGGUnbd9553,N_321171)
reaction(2772,HXLPfhp0194,ZRWMufh2761,FGZNuxo3707,N_349189)
reaction(12999,BOHZuba1449,CYIKaln4178,LAZDkmd8771,N_328862)
reaction(32226,OVVEugf7656,XKEWbcn9806,QQAFqvs9413,N_350944)
reaction(15969,APFNqsf2798,SXPJilj2091,KCUYieg0557,N_322901)
reaction(36555,YAJDvby5112,IIPRthv4585,ELYWjsw7561,N_334043)
reaction(6495,VGGCcbb4024,WDIKwgd1435,CGFFysg4782,N_332921)
reaction(31019,XPUCvje1525,XUEDsyl4073,IHKGwmj2330,N_384862)
reaction(39962,YWORugj2246,XPZMahu6734,LBYHmte8171,N_363953)
reaction(32561,IXJArwa9593,AEVTxsl3450,MREPwuc4115,N_377453)
reaction(17275,ZBWMlwg2257,FJVUvdr2021,CTSNswo7100,N_367331)
reaction(21326,KQLKnfj4627,WCGWubq9416,ODYLjzl6976,N_329496)
reaction(18236,XYHWsqp9227,FKVHrsv0835,UJDZdfy7425,N_363339)
reaction(3530,MJFNehk9934,DLSBwgz6982,VUJUyxx4928,N_340662)
reaction(2876,EMPGpxf6876,LZXAuzd2113,EKIXwke6359,N_325885)
reaction(38685,NXJPnip1586,FXOXior8586,LPLHjow2090,N_337862)
reaction(18488,OOVJqdk0273,HHOYyae4336,VGULbex1323,N_331237)
reaction(19927,WASVupm4146,JNWAlsp5206,ZKJSnog0766,N_355717)
reaction(39855,DTGKpmd8801,NJMQtqv2420,AWVIdha9119,N_338442)
reaction(36679,HZNAoog1602,SBKHvfs8128,CAEXype6634,N_384939)
reaction(6072,FONZbpk2588,OMVCawd1657,JHXBiei4966,N_351945)
reaction(15579,ROEBwhf3941,RBYPagf7903,KEYCnwt0027,N_366924)
reaction(13120,BWKYurp9738,QHPLdku6837,ZZXTdoz7552,N_349200)
reaction(19041,KPCRmdv2404,OVHVtqz5609,UTSBoov1893,N_384968)
reaction(25575,GOOVhin7755,BEUSuru0864,RIVIqgl0655,N_384979)
reaction(22038,OQLEwcf5324,KUCTcxe3471,AFFWkfm8741,N_345139)
reaction(20739,IPKHgnr2091,VQEIlaa9853,FTTVjeg5893,N_346206)
reaction(15084,DLCRrmz1251,HJXQjdm5939,AFQTldf0581,N_358636)
reaction(38854,WSUWpqb9112,XSUUwsd4814,NQKGpwe0707,N_329363)
reaction(23626,SCCCddn6337,GWWEgmm6963,XJJDgaw5075,N_385014)
reaction(28090,IHTMpaz4650,CWVNyqk1572,HXUOmyu3938,N_377915)
reaction(16490,KYZOvgj6324,VNXZucj2826,LVESptd2552,N_370114)
reaction(13537,QSHUkbn1014,KPMZqfa2708,OPNMrhn6488,N_331494)
reaction(5973,BYCVzzq2556,KWPKcec9685,ZXBKpuz3643,N_339508)
reaction(12254,GRGElzf6093,TCMXbgk1400,PIGBxsn7415,N_327404)
reaction(39100,LMJSkfk4770,NYXBtki9681,GCZCwtc6603,N_346630)
reaction(123,EETZtps1136,YCZJygz8458,CBTFzug2165,N_343182)
reaction(16339,RZJTtpg5107,EEFIuby1013,PMVTbkd1492,N_339508)
reaction(25327,JMOSgzi1801,VVYCesa7052,CRPIgfj1687,N_358973)
reaction(5135,UYMPosm5026,KPJRohb7410,VBTVjwd3651,N_334571)
reaction(20726,OUEOtzw3384,UFJTqci4775,XIIFtde3796,N_327798)
reaction(29802,VULPlhs4008,QTENrhy4784,CRABulo3531,N_378859)
reaction(9348,YRCTzkc3752,LMCIahw8384,ERKZywl5202,N_336966)
reaction(11760,JTEQkft4230,MNZRpmp9530,JOZAjce6022,N_333207)
reaction(4573,PWJMzyg4780,JNPXsah2692,MCXJzvl0709,N_383882)
reaction(35480,LCJHqio3508,WDSYdxh0925,XVWVwty1278,N_385115)
reaction(35345,MKLLbwq7647,EWPRjxn5213,NYRKlht2367,N_368501)
reaction(20109,DWOEhoi1978,ZURVjij0970,DLCXgzq0574,N_341202)
reaction(7742,WWEJhnb8517,RJGGaed5299,CLTRfbr6693,N_341673)
reaction(38625,EFYYpop9758,ALQAodn1147,NIJMxgh6242,N_364806)
reaction(19311,OHZEtce9681,UCZIqae8162,DXBAann9415,N_331877)
reaction(2490,KLLOcwp8405,NFCBwpr4122,RMLMgor6439,N_328618)
reaction(12849,MFYDjvs1814,VAYVimf9114,NDEVieu0350,N_384222)
reaction(37982,SZCBunf0708,IEDMacv2535,RLYZguz4010,N_335325)
reaction(22671,ZORUazd6646,UAPFxyo3227,UXOLgzz1650,N_359443)
reaction(19442,MSLDrll3512,ESXOnfu6629,ZPSWtsx1587,N_380160)
reaction(8501,FONAhpu5719,EDINida6978,WVUKnxl1271,N_378213)
reaction(12467,ILUGlbe7697,OBVOzoo8196,SVJUpia4110,N_324235)
reaction(25020,UKTZeqk3381,AZBFcfo3281,PGAWozf1249,N_343652)
reaction(36429,DTHIbll3726,FNQLmjo0685,CYERgvk3152,N_327859)
reaction(23258,HKTDjei6111,FXHNjql7634,KUOHutl6399,N_363127)
reaction(9671,QTZPrcc6225,YTJOdov2597,WBJYahs5682,N_369730)
reaction(14678,CVMSogv7096,LAQXfdw6617,BTXRqzq4910,N_381207)
reaction(33638,NFQDnqk5972,CBOXdsp9987,DQLOsvk0551,N_383976)
reaction(22268,NBUZzrx7971,MUPQsef3899,CJTRwqq0520,N_329496)
reaction(2064,RTKWsul5544,KJMMmwu4741,VWESeci5007,N_321865)
reaction(32922,VKGRqbd3237,MNWAqed5274,HIOGtlm3815,N_332256)
reaction(21867,XSTRwlo8717,PMHRpeh1762,LCZIxwk2817,N_362300)
reaction(7160,WMRXels9005,QXSZtwd5277,CVTNgha9398,N_366415)
reaction(33018,TLBIgmx8097,XADDwck4930,BOXHozn3186,N_359093)
reaction(1015,NGZGuvt2422,ZYNWpoc2249,HSUSavm1193,N_339620)
reaction(18881,DHHDvnh7187,YGJLuke7645,WSJXmxh8648,N_344965)
reaction(26060,CQUUyrr4195,VGVZsqq6824,MUXJbkr4900,N_332300)
reaction(22026,COZSsad5445,UJZTiox5660,CIZPtaf8317,N_341745)
reaction(33438,TVWTlki7674,RLAIhhs8384,QQRZoaf5342,N_366033)
reaction(30715,MIMGhbj2424,OJJZtyh9526,ETTVlmo4816,N_348060)
reaction(37188,JTLGvoz8195,QKPIpvx8673,HOWPaka4841,N_325054)
reaction(25716,JUNMpsu4248,FXLBaem0805,EICPdpc0294,N_369713)
reaction(4738,TRFHrrq4381,UYKWlei5850,ILLRbli7262,N_348162)
reaction(19094,KOSXumm2948,GNRTxbz4173,JDPUlqy3359,N_329856)
reaction(30870,KWFYvkp3865,DVJDtdf3473,NZRUycj9654,N_351148)
reaction(8311,KRLRwja4796,PTAKgwq5675,IDZIlau4327,N_329690)
reaction(12142,CFNKuzb3585,FEXPrvl4189,VRUPcer2277,N_331114)
reaction(39223,UGJGpri2505,ZNDOsor3539,ICMAzsq7132,N_365530)
reaction(18946,QWUKnii4216,FGXAhph9081,JAVUskl9751,N_338820)
reaction(24800,AWYPwet9588,UFKVhll4976,UBPTpzq3603,N_380160)
reaction(11777,DZTTgzj9880,DKJYluo0312,SVDLvkz9261,N_350315)
reaction(24211,AZIAwxh5480,NRFGjyi4596,DCVPvwq6851,N_377541)
reaction(33107,PMHRfez5166,QIUKbwu1800,UQDWweb0218,N_383976)
reaction(33332,JURRzfu6615,HGKAhsm7201,OLHEjfx8187,N_328063)
reaction(9537,KOHLczm8196,UZVLqnt2469,RAMOonc4168,N_320582)
reaction(12498,TQNEvve3966,VDHYnel5507,YJYRwlw1014,N_334815)
reaction(29089,GNGJahs7230,XHPXegw7517,BVQBrai3526,N_325907)
reaction(35381,UJYEwuz3180,AQZIusu3647,BLDRofa5483,N_321887)
reaction(5426,YBSEshs8008,AVNOjdx3998,HNMFzvg1141,N_338865)
reaction(36285,VDNOsrt7676,LMTOtyi5658,DUHHghg9905,N_366335)
reaction(2348,PRZEsgp9507,SLOVaqt2223,BXYVzjc0856,N_328108)
reaction(39641,CLZVsyv9787,PDEMkea2543,WLUPvtf1873,N_385432)
reaction(30161,GXKZqdz4953,KIDEuis5933,GCAToeu7482,N_385443)
reaction(6173,ZZOGxvj6327,VBBNowv5461,VXKPcyc0122,N_333434)
reaction(34282,NRHNmcm0919,IASMzan7050,QTJZzmw8719,N_362409)
reaction(21230,SXHQalp0427,PUQTjou9453,WCSIeit8931,N_372135)
reaction(19158,CCKSpqh6313,CQZNiko8040,JZETora8561,N_347870)
reaction(21317,HIIJdgy3030,MRERqib6887,GKKXnco9784,N_343382)
reaction(10372,BPPSwrk7139,FTDBmyd9236,MEPLlbz2992,N_385484)
reaction(27565,KISOuco3394,IUJFytg3759,UUJNysq2936,N_385495)
reaction(37245,BJTVaxz9085,AZQLjkm4155,TTRBffw3702,N_329129)
reaction(26702,ZEPGyrw5431,LWPMjjm1292,UFQUsri9042,N_380908)
reaction(7532,AWCBqqk2935,TDCHpzf5597,SJANdgm3431,N_337637)
reaction(28242,LSRAcgx8905,BINMciw8904,CAKHxtt3895,N_329251)
reaction(13012,DUTBrbm5033,ZCVOjzj8538,LCHUlkj1876,N_385530)
reaction(38407,IVFHwuo0202,YNVMsmv6487,DJFTufg2507,N_323055)
reaction(16500,FZRCedy1609,HBVTvlq2784,SVPJvyd7774,N_327299)
reaction(34679,ZILEhny8664,RFDUkfs6987,TUSBmzj4279,N_322824)
reaction(19273,JKNYrjc7883,GVLSbqz5740,BKMVlux3834,N_358147)
reaction(10857,DQFGkbu9244,PRLCdfk6256,TWDPupi4460,N_355442)
reaction(16758,QMGSpbz6376,TKECkog7040,WZXKbcw7589,N_385571)
reaction(16055,OOGXacm0194,KSFAgyu2025,ESWSklp3159,N_355247)
reaction(4552,URXUvhe7392,OZCFygb6470,GWKTrso3494,N_384862)
reaction(21257,RTVLjfj0734,MHHWevd6612,QVHXamt7437,N_339256)
reaction(24771,UVAPyyb3270,VPEMoyu9891,QGDXjqh5828,N_326924)
reaction(17423,SCTSjvj8858,HHUGyqz6451,PKAInnw0885,N_340430)
reaction(925,CQKZpfb1044,OEAOnuu0323,RCUQrhz5712,N_329607)
reaction(18244,PRTItrb0275,LHFVlrt0423,LCGTsos5863,N_370202)
reaction(3316,DASEjjc0487,SZBOfvl2137,MHDTtjq0938,N_321821)
reaction(28775,HKJTozy6467,LRVVdte8821,FCRLddy6854,N_367073)
reaction(30061,IQHGutu9348,RIHNhae6870,AUVYyab6744,N_322499)
reaction(9490,VADNmic8858,KFDZomw8273,TITCvel8382,N_346038)
reaction(8213,FYFYpqb5538,TPYYste9459,KHURivq0254,N_367732)
reaction(118,FIDQtnj0420,THXNjcv5454,WEVYxvb0914,N_348111)
reaction(21035,PGJCkev1459,CNAXvac7698,VBZCosw9844,N_359866)
reaction(3912,VXXLrdq3515,YKDYzlw6215,BKXHyfb7537,N_340114)
reaction(36819,TBBQirh9997,HAKBygr3256,MGFNuce7489,N_342439)
reaction(6623,XJXNrtp9821,ONWHuqg4479,YAAAntf4523,N_338792)
reaction(9946,OVAErka0964,GVGLcbm5980,PEGCwjd6816,N_352563)
reaction(8274,FPZVwaa3952,CSCAytw6492,LGKNpwo2991,N_323833)
reaction(13928,PRPTzcs6921,FNLTkpc2941,LLLMbtd0700,N_385696)
reaction(32798,YTRFdah4227,AEOEcft4701,OPFWknv9203,N_337065)
reaction(27599,WCMUtfy0818,NWWQtgk4140,EXWTnwo1198,N_371097)
reaction(3006,TGCMwtb1876,KUUWrwj3632,OOAFavf6180,N_325918)
reaction(14512,RBVGffp9350,GRSIpls6822,DINAjca0924,N_332411)
reaction(14603,RJHUacx1064,EMXYygn0795,AAUNyct4808,N_337851)
reaction(7495,KGVVayg6118,WKCEfyq4422,XPJJdcg1277,N_330250)
reaction(34041,RSUQnfl4570,KXPXoib8670,QZAEgok5404,N_333914)
reaction(34533,MBHYuna1752,QDROiit9814,NNRQibk2250,N_338575)
reaction(8259,RSWNlpe0323,VERGxsi2978,EJYOzlw2999,N_323298)
reaction(31689,UZFAwvz0272,SAJYpos8080,DXVNhxt6891,N_367538)
reaction(2935,KCPYjox7307,IYTBllj4179,UYDUszv1390,N_376234)
reaction(3090,KGIFora7506,WYDJcdg9915,AMNYdwc9730,N_332816)
reaction(36719,CGDXivi1915,KJPSnkh9020,SMVMzhn4050,N_342041)
reaction(37766,SBLJfpx7294,FVFSxba5485,SQQNbur1826,N_381207)
reaction(25954,IHCWire7673,WRXNyko5716,OGHDuie4707,N_347213)
reaction(3947,DYOHpvl7943,VUWZfqp4435,HSMQsby4941,N_356467)
reaction(13905,KEYEwrv0709,NBBDtxq0449,WIRDjkk4426,N_368380)
reaction(32897,SLPUxyl9335,WTJVnlo8626,YEAEmdn3968,N_366924)
reaction(5456,VQKLtcl7084,DCOBiib6485,JWDJndi0154,N_327238)
reaction(29733,YHVCghl0122,OCCRbdp2500,KAOHojk8986,N_360367)
reaction(53,LLQCkfr0794,WMOCfah8434,IHGYsux0931,N_333044)
reaction(8854,HCZUvrh1759,YEKMzce0657,BBHIhkg2257,N_321105)
reaction(21012,BCSWjel2867,FCZHswv8437,RBAXxvc2488,N_335031)
reaction(15923,BFEFzju8688,TSNWvqd7357,VKFQwlz3667,N_320747)
reaction(27114,WNBFror4154,YWQKkmt2616,XZNBxry5355,N_377809)
reaction(7906,HZXDkyi7993,WJVRltp9445,WBFAofk2814,N_385857)
reaction(23005,YIWWgnu2078,FGAWktg2877,TZKVgfa7373,N_366514)
reaction(34193,AJDDkvf0903,TWPBqex5145,QYCMhka6673,N_351223)
reaction(9073,BVRPadn5608,NGTXgbl9745,KCUOsdb0312,N_329867)
reaction(32940,BREAonf7785,PJAOhoy7777,IGGUwoe0754,N_350304)
reaction(13188,PEHBxxw9834,WGVOfoh7253,ESLMcad9849,N_384069)
reaction(25132,VMLBwkd4505,ZTNUgwn4087,KEOYdfh3931,N_330965)
reaction(3655,IFEZygh8745,SUWIdbr9438,GEDKyab6501,N_344310)
reaction(32170,IGEPsnt2948,ELUVcqv4982,YZUIahi8683,N_324572)
reaction(35651,YAMYvcd9749,UZMIojp9847,UFWNesh1263,N_385916)
reaction(6608,LOYIktk3528,TBLJnxg8451,GHZAtsd0566,N_385927)
reaction(7541,GPZIsqm0522,OQFOnte1486,FUUCuuo3381,N_385938)
reaction(7297,XLJOuqo3775,YLQJisk6214,KAGEajn1675,N_373552)
reaction(13190,RSDSyei0686,ZYDOvng4089,VYXSzlt5201,N_325852)
reaction(11661,NWAWsno9430,OXZRwhi0659,LRLIkpa6754,N_355385)
reaction(12852,LQNZxzb2030,QUESmty6841,AWXGhdf3796,N_342030)
reaction(19421,XSZJypd5555,HXIBgyu5997,HGXKwvz9973,N_385973)
reaction(11052,XKCOgst1536,XWDGsgc5338,WFVKwbn7738,N_364100)
reaction(27305,MPVSmtw9007,YSSHege2998,XCPAukz7945,N_355562)
reaction(25385,VAQOdzy5577,QBFUhkn5759,RLZSrrh4897,N_325951)
reaction(5640,SWJNouc1832,TAIMuvs9180,SRODmlh3083,N_386002)
reaction(20583,DUDPjex4694,EWFUdhp8480,CTDSiaq0674,N_327393)
reaction(39510,NONUnzy6131,YMATgku6865,RYVUizl5626,N_386019)
reaction(8740,IIJLuus7036,JCFTkpi0483,BTOVzqw4775,N_360544)
reaction(36305,XCCQdsu3166,TSNQviq5955,ZNVQzrd0472,N_327815)
reaction(15191,ITJXhkf9341,ONDGawd2411,SILDlgv6517,N_326305)
reaction(29830,IGPEdcs1434,PNNCqgb5410,SKMMxdh3780,N_325940)
reaction(11740,QZQVomz9048,GTXKylw2356,PNVAlcj6607,N_330217)
reaction(29609,HYTUoid7484,DUBKdms0155,LCHFoad4139,N_341928)
reaction(18703,DWMTzuk0910,EUERxjg9355,SYOTirh4982,N_351751)
reaction(4769,KLVYzsd3789,JNKMbza0721,KSZXkwm3159,N_356164)
reaction(5233,VQPXwdq5707,PETFxhh0491,UIXXtfc9473,N_325480)
reaction(22267,NQTNvvp7596,XDTRwwf2669,HJQNvgg9567,N_359330)
reaction(14673,XKIOjxm9372,QLBZynv0300,WVAIyrl6137,N_385484)
reaction(22108,CAWVyxi6403,DIQRufx5117,SHDRdtx8985,N_330521)
reaction(24131,URJOvxr8949,VXIQupc8435,ZCQDcfc0097,N_321788)
reaction(5162,BYKGxgt9270,DYVEbkj3218,CXXAxpt9515,N_386108)
reaction(24825,XKCWpoh5849,GXIOekk7685,UEWPyhy2171,N_363322)
reaction(18119,BUCYpiq5623,ZGXOlhl2406,BQDCbxa4256,N_328013)
reaction(34560,XZWGvte6664,CLTSuip3344,HJVInop0603,N_386131)
reaction(30665,TBODzpy5621,OCDUnlr4984,HCHSjpx7492,N_375284)
reaction(5504,ZDKOliu3784,QBCHfxx4073,VLYJmov7709,N_338514)
reaction(1749,PXNHptq0195,PXSYwtd7447,TYPCccv8364,N_322003)
reaction(39533,TROZtkd9044,CIHDzmb8030,EPSPuno3886,N_344113)
reaction(14256,AUHXcde9326,CRHCgjp2004,YFJYlxb4425,N_325802)
reaction(62,FBLMcte9707,TRJYhwb9031,RQMFikp8928,N_386172)
reaction(34838,ODVTbem2854,EHLGpnu4065,OJRZhea8410,N_358950)
reaction(31196,MOZJwtt4112,KHBIkvl8453,SGEWfln3240,N_342131)
reaction(4691,CJDFmnz1265,PGALxgu9775,IXUUqro8338,N_327726)
reaction(31930,IMXQwiu5676,PEYApkq9999,JCTSeny6470,N_355071)
reaction(11124,JXZArsv0592,XVSDxef4166,XJZLvfx3206,N_353657)
reaction(25153,HSVTnnz2746,VHGSdvi7300,TRYIsmn3511,N_349813)
reaction(6518,IJCXjfx8530,IGPBhlz0263,ESCFxum5355,N_372405)
reaction(12284,DHOVbsc3636,TSTYoaf2296,GLZGkap8405,N_340368)
reaction(13785,RZOHtdo2874,ROHSibv9171,FVKWslo6984,N_386231)
reaction(5436,BOTYirs6081,JDXKbju8054,ZKVLwre5980,N_328030)
reaction(32042,RQDJhwd0340,QEFOycc7374,GFMDsde1661,N_327056)
reaction(14239,YCSOswd3353,KQWZhda0298,QUXCxsl8938,N_370324)
reaction(32834,MXJCist5601,CKSRgig5177,MBNYuco7747,N_325054)
reaction(37290,GSXLygy6754,VUOSjii7068,SQCCcxv7761,N_386266)
reaction(34347,RMOSpnw5210,BMSHbtg0809,GSPSvyo9290,N_345704)
reaction(12989,WAXVeoa2158,MFVLqbu3906,IACBfgh5907,N_386283)
reaction(26742,OPOZuzf7475,FXBMxvy9002,FEMIktk4109,N_348151)
reaction(11142,LQNHvuj3719,CZTKzxj5564,RGQStax5029,N_340623)
reaction(30316,FPBCdzs1087,JKULwxw9126,JOWXtny5087,N_320879)
reaction(15153,EITCoiz1125,USNQcdb6793,VVUTxad4652,N_340538)
reaction(37111,YTRSkwb1381,ZYDIixp6301,KIFPire9369,N_377442)
reaction(34719,YLIFsla6886,TVKMemq0946,VOYNkmq8263,N_386266)
reaction(1853,NHSIdyd6596,DATNgsh2301,VPWEkuk5389,N_335664)
reaction(18193,JUBEwiz3967,QPWLdvl2473,WWPWkkx1560,N_352390)
reaction(653,SMFYmle3258,TOCHkgd7422,ZGWUluq7154,N_375851)
reaction(4562,SMBCyta1212,HAKDceb4031,UEBHvrh3718,N_336433)
reaction(26954,ORVRwyd9797,DUZVozi6250,FXZMteh8686,N_375625)
reaction(7874,FSCChdp3782,XGCKrfm4933,YUNFxcv0353,N_338876)
reaction(880,PYFEmmt8872,ITCNafo4896,DTFCjmp0654,N_360729)
reaction(16832,DPMYgpd6054,SRYSodj1432,JQREpmd8038,N_329856)
reaction(18751,VKXGkra2315,YLPSgtl2460,HJAGbrd5447,N_364134)
reaction(30762,XVRDxkp0824,NGOVwjm3994,NEKHrpf7323,N_352054)
reaction(10326,KZHJfxr8809,YQVBrsv2811,QDMDlcp9936,N_345588)
reaction(33391,PPAZadl9176,NJERhze1012,QUYCpbh2368,N_351773)
reaction(25409,OPBLrsr0177,UCRDqjw5599,FUAXhpd4443,N_361190)
reaction(2747,AHQYgom3981,IJLKsdn6005,CPKUjde1386,N_320549)
reaction(31322,DYBAepy6826,TRZFabl7688,PVKFgkw6265,N_373255)
reaction(36602,GJRWvlz6672,CGYNbbr5139,AAZLzot4154,N_324070)
reaction(28387,BHIGmjj1022,WOSFjuv0035,PJUXiwe6683,N_330554)
reaction(2778,YOQSnao3717,TTLZjen1944,LFAJiqj7667,N_362655)
reaction(8768,EVONyox1464,CNTGksy9282,VWUAial0721,N_386438)
reaction(36346,SGSSafg6799,DBWUpgg4792,VZXYmkb9602,N_321887)
reaction(33776,FTNPjjm9508,RQIJghx2310,IJDCtqz6767,N_327034)
reaction(15525,DLOJhap0849,SBFKsny1990,CKXOxdy8890,N_321578)
reaction(21785,RVVXsdt1241,EDEEyzd9428,TODRnxi3616,N_362714)
reaction(10145,GMLKkat0389,EVNAfvh2560,HTQZupe0521,N_322466)
reaction(35675,YOGOrpp9583,SWAInif3163,ZDDPsfi5656,N_321237)
reaction(20603,VRIVyvq4080,UHBYuqy0954,OLSTusf8113,N_356331)
reaction(27869,FKWYbfy3674,CHJXoyk0680,YGZUwxl0789,N_326399)
reaction(12114,GYYNmqk6497,UIIUryt6411,PXXJwld7811,N_343703)
reaction(22243,WTIFutx1275,GVAGyxy1351,XORVptl4261,N_367010)
reaction(22069,KGXZttj3665,YGFTzkc1300,INXMpot5334,N_334560)
reaction(29117,UDJXdno1097,ICJIpyr4079,WAGNjdr9619,N_327487)
reaction(3596,YDFEcrt8284,GKYVdzj1878,FXDLpnv4646,N_362466)
reaction(17710,IHKDbrh4123,CUMLfvu4989,JTOOkah2903,N_352517)
reaction(10155,OKFNggv2357,TUATaom6679,MBCXnct3888,N_386533)
reaction(17693,IOFLdek4873,OGGPerb7906,CDFFrhu5517,N_338001)
reaction(107,RLZGprp2946,PRSUcyf0102,JKUSuzo7304,N_332089)
reaction(1371,CYKEccf6824,RYMCbna9030,MMVXmbh6703,N_320846)
reaction(5993,NKTPkww6093,ZGCThjx4103,UVPGsfo3148,N_386562)
reaction(17879,WDYRjrg0948,MQHVvkx7617,XBPGfjv1104,N_322488)
reaction(20982,BXZLxsm1157,VLHShhk2504,LGTLwlb2655,N_333284)
reaction(11725,UFTXonz7628,HGHEvms4063,CVEAjyp5582,N_386585)
reaction(21473,YARTzet3267,PBRCcuq3712,FXADpmj6807,N_382682)
reaction(22120,WSYVeno6806,VXTRail7712,LDYWxnf3952,N_325918)
reaction(13616,UNAMwue6128,ZBJUfif8094,RGPOppc9382,N_334645)
reaction(39597,SHUSdzg9228,XBGGjpp1282,LLIAuqn6118,N_339205)
reaction(2981,TDRNqrw9430,MXWVijx9980,ZZPHzex9728,N_330382)
reaction(13598,RSGWhwe8427,KPIScwl8687,MAHXddc6553,N_342962)
reaction(9115,WYSPmvd4470,GUXIdzm8579,PGIJrxg6849,N_369840)
reaction(25536,ZCMVwzt4885,ZDTUyet8967,WDNFxxf1760,N_337711)
reaction(27648,XYUKhls0158,ASVEold6052,LZDTemq6388,N_325164)
reaction(34067,QMARwvk7657,OEPBmuh0869,ENOKakc4195,N_332223)
reaction(39930,AOONuqo5506,ZTVNyfi0388,YXTVvyq4238,N_321325)
reaction(38788,RJGSdop6518,SBORoya3494,BOZHyzh9956,N_382019)
reaction(11176,VMULhzk2750,OHVCpis3339,LFUPumi5839,N_331560)
reaction(4067,MJXZaks7707,DOVWxsg8694,KCWHskn5698,N_336773)
reaction(7793,BEOYgjq3163,UQGExcs8331,REMDdli7865,N_355913)
reaction(37222,XUOKhvn3589,ORSOrmk6798,ZGYUvzb1254,N_328862)
reaction(23088,HJEDwfk2330,MRYHmom3633,KNTAxrd5818,N_364083)
reaction(6673,SOGRrzu7128,URJUdjx5471,NLAJusu7307,N_333753)
reaction(1569,VHRShrj4380,SGQYcum0844,VKYNlsm7385,N_321281)
reaction(29164,UKZVdje6248,SWBRehb7039,OXYRwqs2542,N_358343)
reaction(36993,NNRSvkc4975,AOTJinj5273,VDNRvby2309,N_369968)
reaction(18048,FSSJzdg9199,EOHAagp0506,SRVQbbm9463,N_321336)
reaction(14197,ADHWrat0435,LAXPqph3843,NZBAamr5820,N_350209)
reaction(37647,GFFYihi8093,MBXAidt0370,LCEJjkm0641,N_323342)
reaction(20014,EZRGfbq5123,QEACgic4190,EXQTcit8335,N_376427)
reaction(13516,JYSSksp7832,LTBGzkt1825,KAISzzo5335,N_345965)
reaction(13461,BRDAjzc4262,QSANlsm5997,AMKJksv9799,N_342389)
reaction(2587,RYDVair2614,MVDMjaq6498,VREMmjk1531,N_374395)
reaction(38334,GZSHirn0586,UJLFzaj9321,CLSLoyc5250,N_340296)
reaction(21801,OYROvza9312,NFEBwhy4150,XDLLfdi8778,N_351286)
reaction(38530,USNKayl1349,CNRXksu6963,OKIMrsy9621,N_322780)
reaction(20992,DHPMnyp3662,MZKKnhb1153,VZWLhhs2718,N_373541)
reaction(11766,XMTFofl8554,KMDOstn8286,BRFDbhp5634,N_336018)
reaction(5838,GQWNqtd4524,KYDQzeu5537,JCHQqtu1700,N_323568)
reaction(18563,TOENauo6604,RMJZdeh2629,LIRMhdj6365,N_320736)
reaction(38738,LDDUpyk6802,RAMZuux7973,IURRtfk6935,N_337076)
reaction(36345,CBQKtgt7907,BAIQpfl3531,BXVXpib8904,N_335303)
reaction(29865,YMFBkia7558,VLFDhty0361,TQSOvdl6882,N_350198)
reaction(6662,VVLCgpn2904,MFJOkkm5144,GIITagn6851,N_373353)
reaction(3344,VQZWpxk5811,IOYYtpm3877,GHMQaws2324,N_327349)
reaction(31523,QCRXvef2646,RMMYjvp5853,NCVUcmy7739,N_354666)
reaction(24337,OOAHnnd5891,QFDQjup0947,MBYZxen1251,N_322361)
reaction(26349,NZBYkzz7381,QAZNydv8949,SDMGeno1676,N_345987)
reaction(13393,NESLlty0236,HYLIpqi4177,RWBCnfo0084,N_331798)
reaction(6093,ASNKotw7109,MCMWfyq2377,OGONnyr2802,N_341050)
reaction(17416,HQGYmrm6266,CUUSgqq0130,XDYAoow0845,N_348870)
